file	line	col	expected	found	pair_signature	root	reason	entry
src/std_cache_interface.rs	638	12	Option<String>	None	expected `Option<String>`, found `None`	R2	optional_surface_fork	03_ingest
src/std_cache_interface.rs	652	22	Rc<Measure<(), (), i64>>	Rc<Measure<(), (), Rc<i64>>>	expected `Rc<Measure<(), (), i64>>`, found `Rc<Measure<(), (), Rc<i64>>>`	R1	rc_wrap_at_type_argument_depth	03_ingest
src/std_cache_interface.rs	667	23	Rc<Measure<(), (), i64>>	Rc<Measure<(), (), Rc<i64>>>	expected `Rc<Measure<(), (), i64>>`, found `Rc<Measure<(), (), Rc<i64>>>`	R1	rc_wrap_at_type_argument_depth	03_ingest
src/std_cache_interface.rs	695	5	String	Option<String>	expected `String`, found `Option<String>`	R2	optional_surface_fork	03_ingest
src/std_cache_interface.rs	699	5	String	Option<String>	expected `String`, found `Option<String>`	R2	optional_surface_fork	03_ingest
src/std_cache_interface.rs	703	5	Rc<CacheInterfaceFacts>	Option<Rc<CacheInterfaceFacts>>	expected `Rc<CacheInterfaceFacts>`, found `Option<Rc<CacheInterfaceFacts>>`	R2	optional_surface_fork	03_ingest
src/std_checked_arithmetic.rs	305	12	Rc<i64>	i64	expected `Rc<i64>`, found `i64`	R1	rc_wrap_only	03_ingest
src/std_measure.rs	488	18	Rc<i64>	i64	expected `Rc<i64>`, found `i64`	R1	rc_wrap_only	03_ingest
src/std_realization_measurement.rs	96	11	Rc<Measure<(), S, Rc<i64>>>	Rc<Measure<(), S, i64>>	expected `Rc<Measure<(), S, Rc<i64>>>`, found `Rc<Measure<(), S, i64>>`	R1	rc_wrap_at_type_argument_depth	03_ingest
src/std_realization_reconcile.rs	85	65	A	&A	expected `A`, found `&A`	A-clone	generic_param_clone_bound_absent	03_ingest
src/std_realization_schedule.rs	64	11	Rc<Measure<(), S, Rc<i64>>>	Rc<Measure<(), _, i64>>	expected `Rc<Measure<(), S, Rc<i64>>>`, found `Rc<Measure<(), _, i64>>`	RESIDUE	unclassified_pair: Rc<Measure<(), S, Rc<i64>>> | Rc<Measure<(), _, i64>>	03_ingest
src/std_realization_schedule.rs	74	11	Rc<Measure<(), S, Rc<i64>>>	Rc<Measure<(), S, i64>>	expected `Rc<Measure<(), S, Rc<i64>>>`, found `Rc<Measure<(), S, i64>>`	R1	rc_wrap_at_type_argument_depth	03_ingest
src/std_realization_schedule.rs	83	19	Rc<Measure<_, _, i64>>	Rc<Measure<(), S, Rc<i64>>>	expected `Rc<Measure<_, _, i64>>`, found `Rc<Measure<(), S, Rc<i64>>>`	RESIDUE	unclassified_pair: Rc<Measure<_, _, i64>> | Rc<Measure<(), S, Rc<i64>>>	03_ingest
src/std_state_durability.rs	152	65	StateDurabilityBoundary	Vector<Rc<StateDurabilityBoundary>>	expected `StateDurabilityBoundary`, found `Vector<Rc<StateDurabilityBoundary>>`	T3	collection_carrier_fork	03_ingest
src/std_state_durability.rs	163	70	Rc<StateDurabilityBoundary>	Rc<Vector<Rc<StateDurabilityBoundary>>>	expected `Rc<StateDurabilityBoundary>`, found `Rc<Vector<Rc<StateDurabilityBoundary>>>`	T3	collection_carrier_fork	03_ingest
src/std_state_durability.rs	291	152	StateDefinitionCallerAssertion	Vector<Rc<...>>	expected `StateDefinitionCallerAssertion`, found `Vector<Rc<...>>`	T3	collection_carrier_fork	03_ingest
src/std_state_durability.rs	636	59	StateDurabilityBoundary	Vector<Rc<StateDurabilityBoundary>>	expected `StateDurabilityBoundary`, found `Vector<Rc<StateDurabilityBoundary>>`	T3	collection_carrier_fork	03_ingest
src/std_state_durability.rs	878	59	Rc<StateDurabilityEvidence<Target, ...>>	Rc<Vector<Rc<...>>>	expected `Rc<StateDurabilityEvidence<Target, ...>>`, found `Rc<Vector<Rc<...>>>`	T3	collection_carrier_fork	03_ingest
src/v2_compiler_body_lowering_fold.rs	2348	86	OccurrenceId	Rc<NodeOccurrenceId>	expected `OccurrenceId`, found `Rc<NodeOccurrenceId>`	R5	occurrence_identity_carrier_fork	03_ingest
src/v2_compiler_body_lowering_fold.rs	3013	13	Rc<Outcome<Option<Rc<Node>>>>	Rc<Outcome<Rc<Node>>>	expected `Rc<Outcome<Option<Rc<Node>>>>`, found `Rc<Outcome<Rc<Node>>>`	R2	optional_surface_fork	03_ingest
src/v2_compiler_compile.rs	283	82	Witness<Rc<Node>>	Witness<Rc<Outcome<Rc<Witness<...>>>>>	expected `Witness<Rc<Node>>`, found `Witness<Rc<Outcome<Rc<Witness<...>>>>>`	W	witness_type_argument	03_ingest
src/v2_compiler_eval.rs	642	13	HashMap<Rc<EnvironmentBindingKey>, ...>	Rc<PartialFunction<_, _>>	expected `HashMap<Rc<EnvironmentBindingKey>, ...>`, found `Rc<PartialFunction<_, _>>`	T3	collection_carrier_fork	03_ingest
src/v2_compiler_eval.rs	662	27	&HashMap<String, _>	&Rc<HashMap<Rc<Node>, Rc<...>>>	expected `&HashMap<String, _>`, found `&Rc<HashMap<Rc<Node>, Rc<...>>>`	RT-builtin	host_builtin_signature_interception	03_ingest
src/v2_compiler_eval.rs	662	41	String	Rc<Node>	expected `String`, found `Rc<Node>`	RT-builtin	host_builtin_signature_interception	03_ingest
src/v2_compiler_eval.rs	734	56	Witness<Rc<Node>>	Witness<Rc<...>>	expected `Witness<Rc<Node>>`, found `Witness<Rc<...>>`	W	witness_type_argument	03_ingest
src/v2_compiler_eval.rs	742	17	Witness<Rc<Node>>	Witness<Rc<...>>	expected `Witness<Rc<Node>>`, found `Witness<Rc<...>>`	W	witness_type_argument	03_ingest
src/v2_compiler_eval.rs	752	17	Witness<Rc<InferredFacts>>	Witness<Rc<...>>	expected `Witness<Rc<InferredFacts>>`, found `Witness<Rc<...>>`	W	witness_type_argument	03_ingest
src/v2_compiler_eval.rs	761	17	Witness<Rc<InferredFacts>>	Witness<Rc<...>>	expected `Witness<Rc<InferredFacts>>`, found `Witness<Rc<...>>`	W	witness_type_argument	03_ingest
src/v2_compiler_eval.rs	850	121	&HashMap<String, _>	&Rc<HashMap<Rc<...>, ...>>	expected `&HashMap<String, _>`, found `&Rc<HashMap<Rc<...>, ...>>`	RT-builtin	host_builtin_signature_interception	03_ingest
src/v2_compiler_eval.rs	850	135	String	Rc<EnvironmentBindingKey>	expected `String`, found `Rc<EnvironmentBindingKey>`	RT-builtin	host_builtin_signature_interception	03_ingest
src/v2_compiler_eval.rs	1190	83	Rc<EvaluationEnvironment>	Rc<InferredTree>	expected `Rc<EvaluationEnvironment>`, found `Rc<InferredTree>`	ARG-ORDER	call_argument_order_diverges_from_declaration	03_ingest
src/v2_compiler_eval.rs	1190	83	Rc<InferredFacts>	Rc<EvaluationEnvironment>	expected `Rc<InferredFacts>`, found `Rc<EvaluationEnvironment>`	ARG-ORDER	call_argument_order_diverges_from_declaration	03_ingest
src/v2_compiler_eval.rs	1190	83	Rc<InferredTree>	Rc<im::Vector<Rc<RuntimeValue>>>	expected `Rc<InferredTree>`, found `Rc<im::Vector<Rc<RuntimeValue>>>`	ARG-ORDER	call_argument_order_diverges_from_declaration	03_ingest
src/v2_compiler_eval.rs	1190	83	Rc<RuntimeBehaviorInterpreter>	Rc<InferredFacts>	expected `Rc<RuntimeBehaviorInterpreter>`, found `Rc<InferredFacts>`	ARG-ORDER	call_argument_order_diverges_from_declaration	03_ingest
src/v2_compiler_eval.rs	1190	83	Rc<im::Vector<Rc<RuntimeValue>>>	Rc<RuntimeBehaviorInterpreter>	expected `Rc<im::Vector<Rc<RuntimeValue>>>`, found `Rc<RuntimeBehaviorInterpreter>`	ARG-ORDER	call_argument_order_diverges_from_declaration	03_ingest
src/v2_compiler_eval.rs	1191	87	(callee param order)	(call-site arg order)	arguments to this function are incorrect: reorder	ARG-ORDER	call_argument_order_diverges_from_declaration	03_ingest
src/v2_compiler_eval.rs	1192	84	(callee param order)	(call-site arg order)	arguments to this function are incorrect: reorder	ARG-ORDER	call_argument_order_diverges_from_declaration	03_ingest
