structural_group	carrier	id	field	bytes	is_ref	semantic_class	migration_target	has_dissolve_trigger	preview
shared_template	data String	excl_bin_wet_reason	value	271	False	SPEC_NORM	FrontierRow.template	False	bin-execution witness class: fns run compiled seed witness binaries (host effects on non-commit-dete
shared_template	data String	excl_bin_wet_dissolve	value	191	False	SPEC_NORM	FrontierRow.template	False	the file migrates under the execution-corpus scope prefix and enrolls as ExecutionWitnessKind rows i
shared_template	data String	excl_rehomed_bin_wet_reason	value	293	False	SPEC_NORM	FrontierRow.template	False	bin-execution witness class re-homed to the falsifier wet cadence (CI floor endgame D6): the file's 
shared_template	data String	excl_rehomed_bin_wet_dissolve	value	222	False	SPEC_NORM	FrontierRow.template	True	per falsifier_rehomed_bin_wet_rows dissolve_on: the row's realization lands under the per-row budget
shared_template	data String	excl_substrate_long_lane_reason	value	410	False	EVENT	FrontierRow.template	False	SubstrateInputsOnly long-lane witness class re-homed to the falsifier hermetic cadence (test-decompo
shared_template	data String	excl_substrate_long_lane_dissolve	value	254	False	SPEC_NORM	FrontierRow.template	True	per falsifier_substrate_long_lane_rows dissolve_on: the row's eval lands under gunbc_ci_fast_lane_wi
shared_template	data String	excl_behavioral_receipt_reason	value	215	False	SPEC_NORM	FrontierRow.template	False	emit->compile->run->equals-seed self-host behavioral receipt class: enrolled fns run on the falsifie
shared_template	data String	excl_behavioral_receipt_dissolve	value	117	False	SPEC_NORM	FrontierRow.template	False	per-module receipts graduate to per-PR admission when proven cheap enough (falsifier_self_host_wet_n
shared_template	data String	excl_wet_integration_reason	value	196	False	SPEC_NORM	FrontierRow.template	False	wet-integration class, operator-ruled OFFLINE (hermetic-floor posture 2026-07-11): performs genuinel
shared_template	data String	excl_wet_integration_dissolve	value	200	False	SPEC_NORM	FrontierRow.template	False	the scheduled (nightly) lane un-darkens and admits wet integration rows under its own budget; then t
shared_template	data String	excl_probe_universe_carrier_reason	value	162	False	SPEC_NORM	FrontierRow.template	False	non-witness workflow carrier: discovery never scans it (not a *_test.dag); the row exists for the wh
