path	decl_name	classification	residual_reason	all_reasons	text_bytes
dag/extdeps/access/posix.dag	file_mode_octal_note	TypedOperationalFact	ContainsLifecycleFact	ContainsLifecycleFact	801
dag/extdeps/access/posix_effective_principal_read_op.dag	posix_effective_principal_read_op_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	304
dag/extdeps/accessibility/wcag_contrast.dag	wcag_contrast_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	1511
dag/extdeps/advertising/google_ads.dag	google_ads_subject_note	TypedOperationalFact	ContainsHistoricalReceipt	AmbiguousSubject+ContainsHistoricalReceipt	543
dag/extdeps/advertising/google_ads.dag	google_ads_provenance_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	468
dag/extdeps/advertising/google_ads.dag	google_ads_bid_strategy_roster_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	425
dag/extdeps/advertising/google_ads.dag	google_ads_budget_note	TypedOperationalFact	ContainsLifecycleFact	ContainsLifecycleFact	328
dag/extdeps/advertising/google_ads.dag	google_ads_auction_mechanism_note	TypedOperationalFact	ContainsLifecycleFact	ContainsLifecycleFact+NoFollowingSubject	514
dag/extdeps/advertising/meta_ads.dag	meta_ads_provenance_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	903
dag/extdeps/advertising/meta_ads.dag	meta_optimization_goal_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	385
dag/extdeps/advertising/types.dag	ad_price_determination_note	TypedOperationalFact	ContainsLifecycleFact	ContainsLifecycleFact	862
dag/extdeps/astronomy/stellar_classification.dag	stellar_classification_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	637
dag/extdeps/auth/oidc.dag	oidc_standard_claims_note	TypedOperationalFact	ContainsLifecycleFact	ContainsLifecycleFact	1278
dag/extdeps/auth/oidc.dag	oidc_id_token_claims_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	1734
dag/extdeps/bmc/http.dag	redfish_http_hardwired_transport_note	ProgramData	HasSemanticConsumer	AmbiguousSubject+ContainsLifecycleFact+HasSemanticConsumer	694
dag/extdeps/bmc/http.dag	redfish_http_success_semantics_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	746
dag/extdeps/bmc/openbmc_fan_control.dag	openbmc_fan_control_authority_anchor_scaffold_note	TypedOperationalFact	ContainsHistoricalReceipt	AmbiguousSubject+ContainsHistoricalReceipt	405
dag/extdeps/bmc/openbmc_fan_control.dag	openbmc_systemctl_is_active_authority_note	TypedOperationalFact	ContainsLifecycleFact	ContainsLifecycleFact	298
dag/extdeps/bmc/openbmc_fan_control.dag	openbmc_fan_typed_operation_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt+NoFollowingSubject	539
dag/extdeps/bmc/openbmc_operation.dag	openbmc_operation_authority_anchor_scaffold_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	387
dag/extdeps/bmc/openbmc_password_ssh_transport.dag	openbmc_password_ssh_authority_anchor_scaffold_note	TypedOperationalFact	ContainsHistoricalReceipt	AmbiguousSubject+ContainsHistoricalReceipt	391
dag/extdeps/bmc/openbmc_password_ssh_transport.dag	openbmc_password_ssh_transport_note	ProgramData	HasSemanticConsumer	HasSemanticConsumer	248
dag/extdeps/bmc/types.dag	validated_bmc_fan_curve_construction_scaffold_note	TypedOperationalFact	ContainsLifecycleFact	ContainsLifecycleFact	465
dag/extdeps/boards/asrock_rack.dag	asrock_altrad8ud_fan_policy_observation_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	587
dag/extdeps/cache/materialization.dag	catalog_materialization_note	TypedOperationalFact	ContainsHistoricalReceipt	ActivePrOverlap+AmbiguousSubject+ContainsHistoricalReceipt	1284
dag/extdeps/cache/materialization.dag	catalog_keying_note	TypedOperationalFact	ContainsHistoricalReceipt	ActivePrOverlap+ContainsHistoricalReceipt	551
dag/extdeps/cache/pin.dag	sccache_pin_instantiation_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	1305
dag/extdeps/cache/sccache.dag	sccache_binary_artifact_grain_note	TypedOperationalFact	ContainsHistoricalReceipt	ActivePrOverlap+ContainsHistoricalReceipt	1299
dag/extdeps/cache/sccache.dag	sccache_installed_binary_path_note	SourceAnnotationDebt	ActivePrOverlap	ActivePrOverlap	672
dag/extdeps/cache/sccache.dag	sccache_release_arch_selection_note	SourceAnnotationDebt	ActivePrOverlap	ActivePrOverlap	478
dag/extdeps/cache/sccache.dag	sccache_stats_query_does_not_spawn_note	ProgramData	HasSemanticConsumer	ActivePrOverlap+ContainsHistoricalReceipt+HasSemanticConsumer	1661
dag/extdeps/cache/sccache.dag	sccache_misconfigured_log_fragments_note	SourceAnnotationDebt	ActivePrOverlap	ActivePrOverlap	484
dag/extdeps/cache/sccache.dag	sccache_server_lifetime_note	ProgramData	HasSemanticConsumer	ActivePrOverlap+ContainsHistoricalReceipt+HasSemanticConsumer	2237
dag/extdeps/cache/sccache.dag	sccache_idle_timeout_never_value_note	SourceAnnotationDebt	ActivePrOverlap	ActivePrOverlap	409
dag/extdeps/cloud/ubicloud.dag	ubicloud_runner_catalog_citation_note	TypedOperationalFact	ContainsHistoricalReceipt	AmbiguousSubject+ContainsHistoricalReceipt	741
dag/extdeps/cloud/ubicloud.dag	ubicloud_standard_16_arm_observed_memtotal_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	447
dag/extdeps/cloud_init/cloud_init.dag	ubuntu_live_installer_disable_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	1035
dag/extdeps/cloud_init/cloud_init.dag	cloud_init_is_a_writer_not_an_applier_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	997
dag/extdeps/cloud_init/cloud_init.dag	cloud_init_frozen_authority_note	TypedOperationalFact	ContainsLifecycleFact	ContainsLifecycleFact+NoFollowingSubject	749
dag/extdeps/color/okabe_ito.dag	okabe_ito_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	437
dag/extdeps/color/solarized.dag	solarized_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	469
dag/extdeps/color/srgb.dag	color_srgb_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	1272
dag/extdeps/container/oci/digest.dag	oci_content_digest_note	ProgramData	HasSemanticConsumer	ActivePrOverlap+ContainsHistoricalReceipt+HasSemanticConsumer	1090
dag/extdeps/crm/hubspot_lifecycle.dag	hubspot_lifecycle_provenance_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	698
dag/extdeps/crm/salesforce_opportunity.dag	salesforce_opportunity_provenance_note	TypedOperationalFact	ContainsHistoricalReceipt	AmbiguousSubject+ContainsHistoricalReceipt	498
dag/extdeps/crypto/hash.dag	sha256_digest_content_hash_convergence_note	SourceAnnotationDebt	ActivePrOverlap	ActivePrOverlap	700
dag/extdeps/darwin/rusage.dag	darwin_maxrss_unit_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	991
dag/extdeps/darwin/sysctl.dag	darwin_sysctl_subject_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	1533
dag/extdeps/dhcp/v4.dag	ipv4_address_brand_dissolved_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	648
dag/extdeps/exec/command.dag	argv_builder_note	TypedOperationalFact	ContainsLifecycleFact	ContainsLifecycleFact	489
