reference_site	intended_declaration_identity	actually_selected_declaration_identity	visible_candidate_set	failure_class	reach_vs_binding	witness_qualified	error_message
test.claim.accelerator_demo_execution_witness (witness); bare=LocalAccelerator				undefined_variable	reach_gap	test.claim.accelerator_demo_execution_witness.accelerator_demo_execution_lane_witnesses	undefined variable: LocalAccelerator
test.claim.accelerator_demo_model_witness (witness); bare=LocalAccelerator				undefined_variable	reach_gap	test.claim.accelerator_demo_model_witness.accelerator_demo_modeling_lane_witnesses	undefined variable: LocalAccelerator
test.claim.altra_contact_map_witness.w_ingested_contact_map_admits_at_declared_population				other	other	test.claim.altra_contact_map_witness.w_ingested_contact_map_admits_at_declared_population	eval budget exceeded: 504ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.altra_contact_map_witness.w_classified_population_cross_foots_pin_summary				other	other	test.claim.altra_contact_map_witness.w_classified_population_cross_foots_pin_summary	exceeded Cpu budget (502ms elapsed against 500ms)
test.claim.altra_contact_map_witness.w_differential_pairs_are_complete_in_the_ingested_map				other	other	test.claim.altra_contact_map_witness.w_differential_pairs_are_complete_in_the_ingested_map	eval budget exceeded: 502ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.artifact_store_witness (witness); bare=admitted		test.claim.compute_board_pin_chain_witness.admitted	test.claim.compute_board_pin_chain_witness	call_contract_mismatch	bare_name_binding	test.claim.artifact_store_witness.store_hit_and_stale_never_served_holds	call contract mismatch calling 'admitted': too many positional arguments: 2 supplied, 0 positional parameter(s) declared
test.claim.artifact_store_witness (witness); bare=admitted		test.claim.compute_board_pin_chain_witness.admitted	test.claim.compute_board_pin_chain_witness	call_contract_mismatch	bare_name_binding	test.claim.artifact_store_witness.store_budget_evicts_least_recent_counted_holds	call contract mismatch calling 'admitted': too many positional arguments: 2 supplied, 0 positional parameter(s) declared
test.claim.artifact_store_witness (witness); bare=admitted		test.claim.compute_board_pin_chain_witness.admitted	test.claim.compute_board_pin_chain_witness	call_contract_mismatch	bare_name_binding	test.claim.artifact_store_witness.store_no_eviction_under_budget_holds	call contract mismatch calling 'admitted': too many positional arguments: 2 supplied, 0 positional parameter(s) declared
test.claim.artifact_store_witness (witness); bare=admitted		test.claim.compute_board_pin_chain_witness.admitted	test.claim.compute_board_pin_chain_witness	call_contract_mismatch	bare_name_binding	test.claim.artifact_store_witness.store_put_oversized_artifact_preserves_warm_rows_holds	call contract mismatch calling 'admitted': too many positional arguments: 2 supplied, 0 positional parameter(s) declared
test.claim.artifact_store_witness (witness); bare=admitted		test.claim.compute_board_pin_chain_witness.admitted	test.claim.compute_board_pin_chain_witness	call_contract_mismatch	bare_name_binding	test.claim.artifact_store_witness.store_put_artifact_exactly_at_budget_is_admitted_holds	call contract mismatch calling 'admitted': too many positional arguments: 2 supplied, 0 positional parameter(s) declared
