# source_run	32626789562
# source_job	97163823291
# source_head	fc9118ac00
# measurement	Required floor cost outcomes after witness-execution closure; interrupted rows carry lower bounds, completed rows carry exact costs. This artifact records observations only and declares no accepting disposition.
outcome	identity	observed_ms	limit_ms	margin_ms
interrupted-lower-bound	dag.test.claim.lifecycle_survivor_corpus_census.no_raw_lifecycle_string_survivors_remain	42564	5000	37564
interrupted-lower-bound	test.claim.live_deploy.emit.twin_and_production_configure_disjoint_tailscale_endpoints	5001	5000	1
interrupted-lower-bound	gunbc.test.claim.realization_attempt_keystone_test.witness_real_corpus_entry_produces_typed_standing	5002	5000	2
interrupted-lower-bound	v2.lens.no_dual_representation_test.no_dual_representation_test_coverage_honesty_holds	5001	5000	1
interrupted-lower-bound	v2.lens.no_dual_representation_test.no_dual_representation_test_clean_holds	5005	5000	5
interrupted-lower-bound	v2.test.lens_wiring_liveness.wiring_liveness_corpus_test.wiring_liveness_corpus_witnesses	5001	5000	1
interrupted-lower-bound	v2.test.claim.complexity.accumulator_copy_roster_gate_lean_bash.roster_lean_zero_suspects_within_ratchet	5001	5000	1
interrupted-lower-bound	v2.test.claim.complexity.accumulator_copy_roster_gate_lean_bash.roster_bash_zero_suspects_within_ratchet	5012	5000	12
interrupted-lower-bound	v2.test.claim.complexity.accumulator_copy_roster_gate_std.roster_std_change_dag_zero_suspects_within_ratchet	5005	5000	5
interrupted-lower-bound	v2.test.claim.complexity.accumulator_copy_roster_gate_swift.roster_swift_zero_suspects_within_ratchet	5006	5000	6
interrupted-lower-bound	v2.test.claim.complexity.accumulator_copy_roster_gate.roster_machine_code_zero_suspects_within_ratchet	5006	5000	6
interrupted-lower-bound	v2.test.claim.complexity.accumulator_copy_roster_gate.roster_compile_stage_zero_suspects_within_ratchet	5001	5000	1
interrupted-lower-bound	v2.test.claim.complexity.accumulator_copy_roster_gate.roster_glob_discovery_zero_suspects_within_ratchet	5011	5000	11
interrupted-lower-bound	v2.test.claim.complexity.accumulator_copy_roster_gate.roster_lens_traversal_zero_suspects_within_ratchet	5008	5000	8
interrupted-lower-bound	v2.test.claim.complexity.accumulator_copy_roster_gate.roster_lens_cost_model_zero_suspects_within_ratchet	5004	5000	4
interrupted-lower-bound	v2.test.claim.complexity.accumulator_copy_roster_gate.roster_std_algebra_zero_suspects_within_ratchet	5001	5000	1
interrupted-lower-bound	v2.test.claim.enforcement.cost_coverage_witness.cost_coverage_dag_tree_receipt_by_execution	5003	5000	3
interrupted-lower-bound	v2.test.claim.enforcement.cost_coverage_witness.cost_coverage_v2_tree_receipt_by_execution	5002	5000	2
interrupted-lower-bound	v2.test.claim.enforcement.cost_coverage_witness.cost_coverage_corpus_roster_nonempty	40744	5000	35744
interrupted-lower-bound	v2.test.claim.enforcement.cost_coverage_witness.cost_coverage_decl_facts_roster_smoke_totality_holds	37197	5000	32197
interrupted-lower-bound	v2.test.claim.enforcement.grammar_coverage_witness.grammar_coverage_dag_tree_totality_holds	5001	5000	1
interrupted-lower-bound	v2.test.claim.enforcement.grammar_coverage_witness.grammar_coverage_corpus_roster_dedupes_decl_facts	43113	5000	38113
interrupted-lower-bound	v2.test.claim.enforcement.grammar_coverage_witness.grammar_coverage_decl_facts_roster_smoke_totality_holds	39168	5000	34168
interrupted-lower-bound	v2.test.claim.enforcement.grammar_coverage_witness.grammar_coverage_take_n_live_dag_subset5_work_units_by_execution	44228	5000	39228
interrupted-lower-bound	v2.test.claim.enforcement.grammar_coverage_witness.grammar_coverage_take_n_live_dag_subset10_work_units_by_execution	38984	5000	33984
interrupted-lower-bound	v2.test.claim.enforcement.grammar_coverage_witness.grammar_coverage_take_n_fixed_roster_saturates_by_execution	5003	5000	3
interrupted-lower-bound	v2.test.claim.enforcement.grammar_coverage_witness.grammar_coverage_dag_tree_receipt_by_execution	5003	5000	3
interrupted-lower-bound	v2.test.claim.enforcement.grammar_coverage_witness.grammar_coverage_v1_core_file_reject_locus_by_execution	5006	5000	6
interrupted-lower-bound	v2.test.claim.enforcement.grammar_coverage_witness.grammar_coverage_v1_tokenize_file_reject_locus_by_execution	5005	5000	5
interrupted-lower-bound	v2.test.claim.enforcement.grammar_coverage_witness.grammar_coverage_v1_rejected_rows_identity_by_execution	5001	5000	1
interrupted-lower-bound	v2.test.claim.enforcement.grammar_coverage_witness.grammar_coverage_v1_tree_receipt_by_execution	5001	5000	1
interrupted-lower-bound	v2.test.claim.enforcement.grammar_coverage_witness.grammar_coverage_v2_tree_receipt_by_execution	5012	5000	12
interrupted-lower-bound	v2.test.claim.enforcement.grammar_coverage_witness.grammar_coverage_parse_fraction_is_derived	5001	5000	1
interrupted-lower-bound	v2.test.claim.enforcement_inventory_witness.inventory_reconciles_registry_both_ways_live	31633	5000	26633
interrupted-lower-bound	v2.test.claim.enforcement_inventory_witness.inventory_unbound_rows_match_contract_unbound_live	31332	5000	26332
interrupted-lower-bound	v2.test.claim.enforcement_inventory_witness.unbound_lenses_remain_in_inventory_live	31096	5000	26096
interrupted-lower-bound	v2.test.claim.enforcement_inventory_witness.cost_has_contract_and_standing_intent_applications_live	31938	5000	26938
interrupted-lower-bound	v2.test.claim.enforcement_inventory_witness.cost_repo_wide_application_reports_support_gap_live	32509	5000	27509
interrupted-lower-bound	v2.test.claim.enforcement_inventory_witness.cost_contract_consumer_application_support_held_live	32288	5000	27288
interrupted-lower-bound	v2.test.claim.enforcement_inventory_witness.inventory_rows_report_evaluated_scope_absent_live	31489	5000	26489
