pr_number	created_at	merged_at	admitted_unit_minutes	additions	deletions	changed_lines	changed_files	title
8531	2026-08-19T07:00:18Z	2026-08-19T16:24:37Z	564.3	506	6	512	2	Emit per-identity RequiredFloorDisposition and a LongHomeStorageAgreement diagnostic
8532	2026-08-19T07:00:49Z	2026-08-19T07:27:55Z	27.1	1	39	40	3	Restore `cargo check --all-targets`: drop the test importing a deleted module
8533	2026-08-19T07:15:06Z	2026-08-19T16:24:50Z	549.7	432	55	487	4	Split required-floor cost policy from safety deadline (BUDGET POLICY CUT)
8535	2026-08-19T07:45:05Z	2026-08-19T21:10:11Z	805.1	150	23	173	2	Name the boundary between shell -> dag and CLI-authority: argv is not the authority, and CLI invocation is not the universal effect model
8537	2026-08-19T08:15:27Z	2026-08-19T16:22:28Z	487.0	555	198	753	12	T7: gate lookup_checkpoint on declaration identity, not bare name
8538	2026-08-19T08:24:53Z	2026-08-19T20:15:09Z	710.3	443	0	443	1	Design note: a .dag-native SCM — model, vocabulary, and first executable slice
8539	2026-08-19T08:34:18Z	2026-08-19T16:22:52Z	468.6	733	38	771	10	Row 1b: derive Clone bound for call-forwarding fn/impl signatures
8540	2026-08-19T08:38:08Z	2026-08-19T16:25:04Z	466.9	255	8	263	1	Fix cross-claim prepare_grammar memo leaking Symbols across InterpContexts (#8505)
8542	2026-08-19T09:11:37Z	2026-08-19T20:37:23Z	685.8	41	11	52	2	LanguageModel.canonical_symbols may be a decorative field: resolve accepts a tree whose root atom was removed from the prelude set (gunbc#8505 probe A class 4)
8543	2026-08-19T10:12:29Z	2026-08-19T17:05:08Z	412.6	3660	1003	4663	21	I-3: inventory-aware build fulfillment, and the two selection islands deleted at the root
8546	2026-08-19T12:38:18Z	2026-08-19T17:00:38Z	262.3	2	0	2	1	Retire RecordLiteralTarget on source evidence: the downstream needs a name identity, not a field list
8547	2026-08-19T16:40:42Z	2026-08-19T20:44:04Z	243.4	269	37	306	4	Module index: a header-bearing parse failure refuses typed instead of panicking
8549	2026-08-19T16:55:58Z	2026-08-19T21:35:56Z	280.0	881	9	890	7	Close the argv representation-ambiguity class at the seam, and correct two gates that claim enforcement they no longer have
8550	2026-08-19T16:56:39Z	2026-08-19T21:02:38Z	246.0	664	0	664	2	Fabric recut program: the six carriers survive, the layer underneath is replaced
8553	2026-08-19T17:11:22Z	2026-08-19T19:55:22Z	164.0	114	60	174	6	Fabric Cut A: extract LeaseEpoch into std.temporal_effect and migrate all HeldLease consumers
8556	2026-08-19T17:38:17Z	2026-08-19T18:17:52Z	39.6	30	15	45	1	Fix main: demote two byte-offset rows whose fixtures are unrepresentable in i64 (#8505 follow-up)
8559	2026-08-19T18:10:52Z	2026-08-19T21:02:44Z	171.9	2	2	4	2	DESIGN §2 attributes StorageDevice to the wrong module, in the sentence whose point is citation
8560	2026-08-19T18:34:06Z	2026-08-19T19:55:29Z	81.4	86	206	292	18	Cut B: delete product.compute_fabric at the root; Shape and HardRequirements move to product.fabric.work
8562	2026-08-19T18:41:54Z	2026-08-19T19:58:17Z	76.4	434	11	445	3	Restore the serve socket seam as a frozen quarry route; keep converge refusing
8564	2026-08-19T19:15:28Z	2026-08-19T21:02:13Z	106.8	6	3	9	3	Cut C: route the one live workflow emitter back through the runner-selection seam
8565	2026-08-19T19:37:22Z	2026-08-19T21:14:36Z	97.2	386	36	422	1	prepare_grammar cross-claim memo: key on symbol text, not interner ordinals
8566	2026-08-19T19:41:46Z	2026-08-19T21:45:39Z	123.9	2	2	4	2	ATTRIBUTION-3: decide SharedFillDisposition for three quarantined witness identities
8567	2026-08-19T19:42:22Z	2026-08-19T19:58:31Z	16.1	1	1	2	1	Carry the exclusion widening into the second, dormant tree-sync pin
8569	2026-08-19T19:49:55Z	2026-08-19T21:15:51Z	85.9	5	1	6	1	Derive the tree-sync exclude flags from their authority instead of a fourth hand-transcription
