rank	in_floor_wall_ms	entry	function	cause_class	censored_band
1	518.2	test.claim.where_refinement_enforcement_witness	where_refinement_record_field_literal_accepts	compile_dag_rust_emit_check_mini_compile	yes
2	518.0	v2.test.claim.identity_captured_navigation.roster_gate	roster_dag_language_model_zero_suspects_within_ratchet	repeated_prepare_grammar_lens_scan	yes
3	515.6	test.claim.record_literal_call_arg_handoff_witness	record_literal_container_element_mismatch_at_call_arg_still_refuses	pollable_marginal_other	yes
4	511.4	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_has_no_shell_loop_or_case_holds	ci_heal_bash_script_emission	yes
5	511.1	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_excludes_every_registered_artifact_holds	ci_heal_bash_script_emission	yes
6	510.7	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_excludes_stage0_emitted_rust_holds	ci_heal_bash_script_emission	yes
7	510.6	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_remedy_rechecks_before_proceeding_holds	ci_heal_bash_script_emission	yes
8	509.3	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_red_when_an_artifact_is_unexcluded_holds	ci_heal_bash_script_emission	yes
9	509.2	test.claim.non_fold_residue_witness	non_fold_residue_clean_holds	pollable_marginal_other	yes
10	509.2	test.claim.roadmap_sandbox_witness	witness_family_fixture_frame_occurrences_exact	roadmap_page_html_emit	yes
11	508.9	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_remedy_merges_the_built_from_revision_holds	ci_heal_bash_script_emission	yes
12	508.8	test.claim.live_deploy.emit	witness_retract_script_owned_only	live_deploy_script_emit	yes
13	508.4	test.claim.live_deploy.emit	witness_retract_attempt_state_root_refuses_when_nonempty	live_deploy_script_emit	yes
14	508.4	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_uses_structural_control_flow_holds	ci_heal_bash_script_emission	yes
15	508.3	v2.test.claim.identity_captured_navigation.roster_gate	roster_ingest_stage_zero_suspects_within_ratchet	repeated_prepare_grammar_lens_scan	yes
16	508.2	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_refusal_aborts_the_merge_holds	ci_heal_bash_script_emission	yes
17	507.8	test.claim.live_deploy.emit	witness_retract_preamble_acknowledges_shared_sudoers_install	live_deploy_script_emit	yes
18	507.6	test.claim.live_deploy.emit	witness_retract_owned_process_removes_serve_service	live_deploy_script_emit	yes
19	507.3	v2.test.claim.identity_captured_navigation.roster_gate	green_control_sanctioned_reader_body_not_flagged	repeated_prepare_grammar_lens_scan	yes
20	506.7	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_emit_did_not_refuse_holds	ci_heal_bash_script_emission	yes
21	506.6	test.claim.compute_board_readiness_witness	w_altra_contact_map_is_published_and_lands_in_design_family	pollable_marginal_other	yes
22	506.6	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_pre_repair_grammar_restores_the_RED	dag_arrow_lambda_emit_fold	yes
23	506.6	test.claim.live_deploy.emit	emitted_twin_retract_removes_nothing_of_productions	live_deploy_script_emit	yes
24	506.4	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_missing_body_refuses_RED	dag_arrow_lambda_emit_fold	yes
25	506.0	test.claim.roadmap_static_site_witness	witness_readback_script_curls_are_wall_clock_bounded	roadmap_page_html_emit	yes
26	505.7	test.claim.live_deploy.emit	witness_blue_and_green_retirement_both_preserve_reusable_dispatch_state	live_deploy_script_emit	yes
27	505.7	test.claim.roadmap_static_site_witness	witness_readback_script_checks_health_and_digests	roadmap_page_html_emit	yes
28	505.6	test.claim.roadmap_page_witness	witness_daily_leads_operational_not_narrative	roadmap_page_html_emit	yes
29	505.5	test.claim.live_deploy.emit	witness_scripts_stay_within_ci_runner_grants	live_deploy_script_emit	yes
30	505.5	v2.test.execution.pick_ingested_probe	pick_probe_swapped_arms_structural_red_holds	emit_host_execution_witness	yes
31	505.4	gunbc.test.claim.namespace_graft_body_dissolution_witness_test	witness_type_fn_module_dissolution_refuses_RED	pollable_marginal_other	yes
32	505.3	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_sum_decl_unchanged	dag_arrow_lambda_emit_fold	yes
33	505.3	gunbc.test.claim.namespace_graft_body_dissolution_witness_test	witness_lowered_body_module_still_grafts	pollable_marginal_other	yes
34	505.3	v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_emit_octet_bridge_shape_holds	emit_host_execution_witness	yes
35	505.3	v2.test.claim.identity_captured_navigation.roster_gate	red_control_planted_identity_escape_finding_count_is_one	repeated_prepare_grammar_lens_scan	yes
36	505.2	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_paren_arithmetic_unchanged	dag_arrow_lambda_emit_fold	yes
37	505.0	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_commit_rechecks_unmerged_before_committing_holds	ci_heal_bash_script_emission	yes
38	504.9	test.claim.live_deploy.running_release_identity_witness_test	witness_matching_release_and_surface_grounds	live_deploy_script_emit	yes
39	504.9	v2.test.execution.add_arrow_eval_by_execution	add_arrow_eval_resolve_holds	emit_host_execution_witness	yes
40	504.9	v2.test.execution.pick_ingested_structural_lowering	pick2_ingested_pick_false_executes_holds	emit_host_execution_witness	yes
41	504.8	v2.test.execution.pick_ingested_structural_lowering	pick2_ingested_pick_true_executes_holds	emit_host_execution_witness	yes
42	504.7	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_multi_param_lambda_parses	dag_arrow_lambda_emit_fold	yes
43	504.6	v2.test.execution.pick_ingested_probe	pick_probe_pipeline_resolves_holds	emit_host_execution_witness	yes
44	504.5	v2.test.execution.pick_ingested_probe	pick_probe_normalized_then_arm_has_magnitude_child_holds	emit_host_execution_witness	yes
45	504.5	v2.test.execution.pick_ingested_structural_lowering	pick_ingested_swapped_arms_red_holds	emit_host_execution_witness	yes
46	504.4	test.claim.roadmap_static_site_witness	witness_roadmap_route_is_plain_text	roadmap_page_html_emit	yes
47	504.4	v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_staging_emit_refuses_underived_holds	emit_host_execution_witness	yes
48	504.4	v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_emit_accepts_holds	emit_host_execution_witness	yes
49	504.2	test.claim.roadmap_static_site_witness	witness_site_artifact_model_populated	roadmap_page_html_emit	yes
50	504.2	v2.test.execution.pick_ingested_probe	pick_probe_normalized_arrow_branch_holds	emit_host_execution_witness	yes
51	504.2	v2.test.claim.identity_captured_navigation.roster_gate	roster_parse_stage_zero_suspects_within_ratchet	repeated_prepare_grammar_lens_scan	yes
52	504.1	gunbc.test.claim.realization_sweep_test	witness_sweep_receipt_and_histogram_render_every_row	pollable_marginal_other	yes
53	504.1	test.claim.roadmap_forecast_witness	witness_live_graph_refuses_with_located_counted_calibration_gaps	roadmap_page_html_emit	yes
54	504.0	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_lambda_in_pipeline_parses	dag_arrow_lambda_emit_fold	yes
55	504.0	v2.test.execution.add_arrow_eval_by_execution	add_arrow_eval_normalize_holds	emit_host_execution_witness	yes
56	503.9	v2.test.execution.pick_ingested_structural_lowering	pick_ingested_parsed_module_from_source_holds	emit_host_execution_witness	yes
57	503.8	test.claim.live_deploy.emit	twin_and_production_configure_disjoint_tailscale_endpoints	live_deploy_script_emit	yes
58	503.8	test.claim.roadmap_page_witness	witness_authority_serializes_with_structure	roadmap_page_html_emit	yes
