rank	in_floor_wall_ms	entry	function	cause_class	censored_band
1	492849.6	test.claim.resolution_divergence_silent_pick_gate_witness_test	resolution_divergence_silent_pick_gate_keystone_holds	unpollable_host_builtin_giant	no
2	78589.5	test.claim.extdeps_scope_placement_gate_loudness_witness	red_seed_runner_failure_detail_projects_located_receipt	pollable_marginal_other	no
3	46813.8	test.claim.dissolution_census_witness_test	unbound_dissolution_empty_literal_refuses	pollable_marginal_other	no
4	36593.5	test.claim.rust_test_fixtures_import_closure_witness	ambient_pool_provider_preserves_listed_import	import_closure_scan	no
5	26565.3	test.claim.rust_test_fixtures_import_closure_witness	declared_import_closure_lists_rust_import	import_closure_scan	no
6	24105.2	v2.test.manual.grounding_lens_whole_tree	grounding_lens_whole_tree_witnesses	whole_corpus_pool_parse_builtin	no
7	15486.6	test.claim.g2_data_reference_under_selection_witness_test	specimen_classifies_as_runtime_read	pollable_marginal_other	no
8	4866.2	v2.test.claim.effect_reach_test	effect_reach_path_data_init_derived_host_reading_holds	pollable_marginal_other	no
9	3067.4	test.claim.root_d_checkpoint_scalar_declared_arity_witness	root_d_checkpoint_scalar_declared_arity_witness_holds	pollable_marginal_other	no
10	2972.9	test.claim.decl_facts_initializer_projection_witness_test	decl_facts_reflection_data_ref_with_coproduct_type_is_not_variant_value	decl_facts_reflection_scan	no
11	2905.2	test.claim.decl_facts_initializer_projection_witness_test	decl_facts_reflection_imported_external_authority_positive_control	decl_facts_reflection_scan	no
12	2864.2	test.claim.decl_facts_reflection_witness_test	w_outer_record_constructor_scaffold_lexeme_surfaces	decl_facts_reflection_scan	no
13	2796.2	test.claim.decl_facts_initializer_projection_witness_test	decl_facts_reflection_explicit_import_resolves_to_a_when_b_also_loaded	decl_facts_reflection_scan	no
14	2794.9	test.claim.decl_facts_initializer_projection_witness_test	decl_facts_reflection_two_unrelated_shared_nullary_arms_do_not_alias	decl_facts_reflection_scan	no
15	2781.8	test.claim.decl_facts_initializer_projection_witness_test	decl_facts_duplicate_qn_pool_declaration_lookup_per_candidate_is_unique	decl_facts_reflection_scan	no
16	2780.4	test.claim.decl_facts_reflection_witness_test	w_plain_int_specimen_has_no_coproduct_constructor_lexemes	decl_facts_reflection_scan	no
17	2773.1	test.claim.decl_facts_initializer_projection_witness_test	decl_facts_reflection_explicit_import_does_not_resolve_to_b	decl_facts_reflection_scan	no
18	2764.3	test.claim.decl_facts_reflection_witness_test	w_fn_body_param_reference_does_not_gain_constructor_lexemes	decl_facts_reflection_scan	no
19	2763.3	test.claim.decl_facts_initializer_projection_witness_test	decl_facts_reflection_whole_declaration_vs_named_field_field_grain	decl_facts_reflection_scan	no
20	2763.3	test.claim.decl_facts_initializer_projection_witness_test	decl_facts_reflection_lookup_missing_vs_present_fact_distinct	decl_facts_reflection_scan	no
