file	line	decl	carrier	bytes	layer	sublayer	disposition_class	readiness	has_typed_disposition_in_file	trigger_head
src/v2/compiler/04_infer.dag	89	node_grounding_frontier_note	data:String	1176	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	GroundingNotDerived is v2's typed inference frontier, not a failure arm and not an escape hatch. v2 
src/v2/compiler/04_infer.dag	175	infer_emit_shape_frontier_note	data:String	491	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	Test-only emit-shape frontier (review 47246): empty facts map for orch-emit-compatible mock proofs (
src/v2/compiler/04_infer.dag	599	infer_arrow_domain_binding_heuristic_note	data:String	421	compiler	v2/compiler	ScaffoldModelMigration	NeedsHumanBind	no	interim: infer_find_arrow_domain_type_in_tree DFS-walks the resolved tree for the first Arrow whose 
src/v2/compiler/04_infer.dag	687	infer_match_int_scrutinee_bool_literal_body_note	data:String	583	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	Int-scrutinee bool-literal match arms ground body type as Int at arm-row construction (same octet 0/
src/v2/compiler/05_emit_orchestration.dag	804	orch_retry_log_source_fidelity_note	data:String	361	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	Retry bash templates hardcode tee/grep log vars (BUILD_LOG outer, RETRY_LOG nested). LogMatches.sour
src/v2/compiler/05_emit_orchestration.dag	1000	orch_emit_retry_multilevel_unsupported_note	data:String	563	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	Three-or-more escalation levels previously reused realize_retry_1level and stuffed rest into occ2 vi
src/v2/compiler/body_producer_forward.dag	3	body_producer_forward_note	data:String	696	compiler	v2/compiler	ScaffoldSubstrateWall	NeedsHumanBind	no	General body producer forward fold (general-body-producer-design §3, wave2_prep_design §3): producti
src/v2/compiler/ingested_fixture_arrows.dag	40	ingested_fixture_arrows_note	data:String	568	compiler	v2/compiler	ScaffoldSubstrateWall	NeedsHumanBind	no	Wave 1 Gate 1 Stage D: census-ingest Arrow fixtures replacing produce_* flat-token MVP producers. Ev
src/v2/compiler/materialization_carriers.dag	41	v2_compiler_materialization_note	data:String	1036	compiler	v2/compiler	ScaffoldRealizationDispatch	NeedsHumanBind	yes	The .dag-substrate demonstration lane (duplicate-work-graph-lens-design.md section 10b): ParseTable 
src/v2/compiler/native_selected_bundle_process.dag	10	native_selected_bundle_process_seed_deferral	data:String	653	compiler	v2/compiler	ScaffoldSelfHostRetire	NeedsHumanBind	no	§7 seed-retained execution plumbing: claim_executor parses this carrier, dispatches NativeBundleWitn
src/v2/compiler/program_partition.dag	296	partition_structural_value_carriers_dissolution_trigger	data:String	588	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	the whole-program emit applies use-site ownership to the module-surface wrapper node (carrier ^dag_s
src/v2/compiler/self_host/candidate_generation.dag	21	candidate_generation_serializes_written_source_note	data:String	276	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	wire serialize_target composed with translate in generate_stage_candidate_from_ingest (CandidateGene
src/v2/compiler/self_host/emitter_producer_provenance.dag	127	producer_emission_executed_green_receipts_note	data:String	508	compiler	v2/compiler	ScaffoldRealizationDispatch	NeedsHumanBind	no	Witness-realization mint contract (reviews 44455/44460/44465/44468): ProducerEmissionExecutedGreenRe
src/v2/compiler/self_host/emitter_producer_provenance.dag	666	emitter_produced_authorization_binding_note	data:String	356	compiler	v2/compiler	ScaffoldRealizationDispatch	NeedsHumanBind	no	Review 44504/44509/44570: authorization_binding lives inside EmitterProduced disposition (frontier.d
src/v2/compiler/self_host/frontier.dag	160	compiler_frontier_binding_hand_rows_note	data:String	1752	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	THE SECOND AUTHORITY, still live for ONE consumer and gated because of it. These 27 rows no longer s
src/v2/compiler/self_host/frontier.dag	200	compiler_frontier_crate_layout_note	data:String	825	compiler	v2/compiler	ScaffoldSelfHostRetire	NeedsHumanBind	no	Single crate-organization authority (Wave 2 derived layout): self-emitted stage0 mod basenames deriv
src/v2/compiler/self_host/frontier.dag	1265	frontier_emitter_hand_row_debt_note	data:String	1869	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	TYPED, COUNTED DEBT — the emit path still reads the hand rows, and this is the one place that says s
src/v2/compiler/self_host/frontier.dag	1434	seed_retained_quarantine_scaffold_stage0_files_note	data:String	351	compiler	v2/compiler	ScaffoldRealizationDispatch	NeedsHumanBind	no	Review 44472: six quarantine modules (SeedRetained, emitter_produced_baseline=0) retain emitted .rs 
src/v2/compiler/self_host/native_routing_frontier.dag	52	dissolve_on_field	struct_field	413	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	a no-evict cached agreement leg exists for this family (the family_crate pr_native pattern) with one
src/v2/compiler/self_host/native_routing_frontier.dag	101	dissolve_on_field	struct_field	213	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	routed_flip_reverted_note receipt: divergence root-caused with member + both values NAMED (agreement
src/v2/compiler/self_host/native_routing_frontier.dag	137	dissolve_on_field	struct_field	213	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	routed_flip_reverted_note receipt: divergence root-caused with member + both values NAMED (agreement
src/v2/compiler/self_host/parity_receipts_local.dag	7	parity_receipts_local_note	data:String	1053	compiler	v2/compiler	ScaffoldWitnessCadence	NeedsHumanBind	no	Operator-sourced parity observations (ruling 2026-07-22: verify locally, then flip — the receipt SOU
src/v2/compiler/self_host/witness_bulk_routing.dag	21	witness_bulk_routing_note	data:String	843	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	Entry-grain bulk-native routing machine (ROADMAP 2a Lane B, 2026-07-23): the 744-entry discovery ros
src/v2/compiler/self_host/witness_bulk_routing.dag	79	dissolve_on_field	struct_field	204	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	744-entry srvN sweep receipt names this entry's measured first-error class; row flips to NativeRoute
src/v2/compiler/self_host/witness_bulk_routing.dag	86	dissolve_on_field	struct_field	204	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	744-entry srvN sweep receipt names this entry's measured first-error class; row flips to NativeRoute
src/v2/compiler/self_host/witness_bulk_routing.dag	93	dissolve_on_field	struct_field	159	compiler	v2/compiler	ScaffoldRealizationDispatch	NeedsHumanBind	no	native host-effect transport lane delivers typed host_effect_apply execution for this entry's sink c
src/v2/compiler/self_host/witness_bulk_routing.dag	100	dissolve_on_field	struct_field	166	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	native_routing_frontier flips the owning family to NativeRouted with a warm per-PR agreement receipt
src/v2/compiler/self_host/witness_bulk_routing.dag	107	dissolve_on_field	struct_field	204	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	744-entry srvN sweep receipt names this entry's measured first-error class; row flips to NativeRoute
src/v2/compiler/self_host/witness_bulk_routing.dag	114	dissolve_on_field	struct_field	204	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	744-entry srvN sweep receipt names this entry's measured first-error class; row flips to NativeRoute
src/v2/compiler/self_host/witness_bulk_routing.dag	121	dissolve_on_field	struct_field	204	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	744-entry srvN sweep receipt names this entry's measured first-error class; row flips to NativeRoute
src/v2/compiler/self_host/witness_bulk_routing.dag	142	dissolve_on_field	struct_field	107	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	module_graph pure/live split lands and the witness row's live_tree_disposition is derived, not hand-
src/v2/compiler/self_host/witness_bulk_routing.dag	149	dissolve_on_field	struct_field	166	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	native_routing_frontier flips the owning family to NativeRouted with a warm per-PR agreement receipt
src/v2/compiler/self_host/witness_bulk_routing.dag	156	dissolve_on_field	struct_field	159	compiler	v2/compiler	ScaffoldRealizationDispatch	NeedsHumanBind	no	native host-effect transport lane delivers typed host_effect_apply execution for this entry's sink c
src/v2/compiler/self_host/witness_bulk_routing.dag	163	dissolve_on_field	struct_field	204	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	744-entry srvN sweep receipt names this entry's measured first-error class; row flips to NativeRoute
src/v2/compiler/self_host/witness_bulk_routing.dag	170	dissolve_on_field	struct_field	204	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	744-entry srvN sweep receipt names this entry's measured first-error class; row flips to NativeRoute
src/v2/compiler/self_host/witness_bulk_routing.dag	177	dissolve_on_field	struct_field	204	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	744-entry srvN sweep receipt names this entry's measured first-error class; row flips to NativeRoute
src/v2/compiler/self_host/witness_bulk_routing.dag	184	dissolve_on_field	struct_field	204	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	744-entry srvN sweep receipt names this entry's measured first-error class; row flips to NativeRoute
src/v2/compiler/self_host/witness_bulk_routing.dag	200	dissolve_on_field	struct_field	136	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	eval budget under 5s per-PR fast lane OR native execution makes the long-lane wall clock negligible;
src/v2/compiler/self_host/witness_bulk_routing.dag	210	dissolve_on_field	struct_field	111	compiler	v2/compiler	ScaffoldWitnessCadence	NeedsHumanBind	no	witness_admission consumer classification derives OfflineLocalRecipe without a parallel exclusion su
src/v2/compiler/self_host/witness_entry_eligibility_census.dag	30	witness_entry_eligibility_census_note	data:String	1355	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	Entry-grain eligibility classification (ROADMAP 2a Lane B): the rules that say how a floor-discovery
src/v2/compiler/self_host/witness_entry_eligibility_census.dag	69	dissolve_on_field	struct_field	146	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	srvN cssl sweep receipt names first-error class for this entry; row flips to NativeRouted or EmitIne
src/v2/compiler/self_host/witness_entry_eligibility_census.dag	76	dissolve_on_field	struct_field	155	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	native_routing_frontier flips owning family to NativeRouted with warm per-PR agreement receipt; entr
src/v2/compiler/self_host/witness_entry_eligibility_census.dag	83	dissolve_on_field	struct_field	101	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	native host-effect transport lane retires host_fed ceiling; row reclassifies from InterpretedRetaine
src/v2/compiler/self_host/witness_entry_eligibility_census.dag	90	dissolve_on_field	struct_field	92	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	G2 live-read classification + native host-effect transport retire ReadsLiveTree carrier rows
src/v2/compiler/source_authority.dag	143	source_ref_seed_homonym_note	data:String	1313	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	yes	NAME COLLISION, deliberate and marked. src/v1/01_tokenize.dag:53 declares a DIFFERENT type also call
src/v2/compiler/source_authority.dag	183	module_storage_host_parse_note	data:String	818	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	yes	Task 4 (module-identity-storage-binding-design.md Phase 1): the host producer build_module_path_inde
src/v2/compiler/source_authority.dag	644	module_storage_supply_dissolution_trigger	data:String	1212	compiler	v2/compiler	ScaffoldWitnessCadence	DuplicateTypedRow	yes	host-effect emission (witness-realization lane). The host handler for module_storage_bindings_for_so
src/v2/compiler/trait_derive_completeness.dag	41	trait_derive_completeness_note	data:String	501	compiler	v2/compiler	ScaffoldOther	NeedsHumanBind	no	Gate-1 sub-wall #2 (#7174 narrowed 2026-07-25): v2 Node elem-shape classifier + collection-witness g
src/v2/extdeps/languages/c.dag	704	c_emit_host_main_suffix_dissolution_trigger	data:String	351	extdeps	v2/extdeps	ScaffoldOther	NeedsHumanBind	no	c_emit_host_main_suffix + c_emit_host_inject_fault_main_suffix — smoke-driver main harness fragments
src/v2/extdeps/languages/c.dag	994	c_emit_host_type_decl_main_suffix_dissolution_trigger	data:String	396	extdeps	v2/extdeps	ScaffoldOther	NeedsHumanBind	no	c_emit_host_type_decl_main_suffix + c_emit_host_type_decl_inject_fault_main_suffix — type-decl smoke
