file	line	col	trait	self_type	shape	root	reason	entry_example	message
src/std_access.rs	132	30	Clone	S	trait_bound	A	generic type parameter `S` carries no `Clone` bound	emit_host	the trait bound `S: Clone` is not satisfied
src/std_authorization_profile.rs	17	53	Ord	P	trait_bound	A	generic type parameter `P` carries no `Ord` bound	emit_host	the trait bound `P: Ord` is not satisfied
src/std_authorization_profile.rs	22	9	Ord	P	trait_bound	A	generic type parameter `P` carries no `Ord` bound	emit_host	the trait bound `P: Ord` is not satisfied
src/std_authorization_profile.rs	22	18	Ord	P	trait_bound	A	generic type parameter `P` carries no `Ord` bound	emit_host	the trait bound `P: Ord` is not satisfied
src/std_authorization_profile.rs	62	72	Ord	P	trait_bound	A	generic type parameter `P` carries no `Ord` bound	emit_host	the trait bound `P: Ord` is not satisfied
src/std_authorization_profile.rs	73	14	Ord	P	trait_bound	A	generic type parameter `P` carries no `Ord` bound	emit_host	the trait bound `P: Ord` is not satisfied
src/v2_compiler_compile.rs	92	35	serde::Serialize	dyn Fn(Rc<InferredTree>) -> Rc<Outcome<Rc<Witness<Rc<Node>>>>>	trait_bound	T5b	serde/Debug demanded over a value that carries functions	03_ingest	the trait bound `dyn Fn(Rc<InferredTree>) -> Rc<Outcome<Rc<Witness<Rc<Node>>>>>: serde::Serialize` is not satisfied
src/v2_compiler_compile.rs	92	53	serde::Deserialize<'de>	dyn Fn(Rc<InferredTree>) -> Rc<Outcome<Rc<Witness<Rc<Node>>>>>	trait_bound	T5b	serde/Debug demanded over a value that carries functions	03_ingest	the trait bound `dyn Fn(Rc<InferredTree>) -> Rc<Outcome<Rc<Witness<Rc<Node>>>>>: serde::Deserialize<'de>` is not satisfied
src/v2_compiler_compile.rs	94	5	Debug	(dyn Fn(Rc<InferredTree>) -> Rc<Outcome<Rc<Witness<Rc<Node>>>>> + 'static)	doesnt_implement	T5b	serde/Debug demanded over a value that carries functions	03_ingest	`(dyn Fn(Rc<InferredTree>) -> Rc<Outcome<Rc<Witness<Rc<Node>>>>> + 'static)` doesn't implement `Debug`
src/v2_compiler_compile.rs	94	15	serde::Deserialize<'de>	(dyn Fn(Rc<InferredTree>) -> Rc<Outcome<Rc<Witness<Rc<Node>>>>> + 'static)	trait_bound	T5b	serde/Debug demanded over a value that carries functions	03_ingest	the trait bound `(dyn Fn(Rc<InferredTree>) -> Rc<Outcome<Rc<Witness<Rc<Node>>>>> + 'static): serde::Deserialize<'de>` is not satisfied
src/v2_compiler_compile.rs	421	29	Fn	Rc<dyn Fn(Rc<Medium<std::string::String>>) -> Rc<Outcome<Rc<TokenStream>>>>	fn_closure	R3	function-value carrier: `Rc<dyn Fn..>` where an `Fn` bound is expected	03_ingest	expected a `Fn(_)` closure, found `Rc<dyn Fn(Rc<Medium<std::string::String>>) -> Rc<Outcome<Rc<TokenStream>>>>`
src/v2_compiler_compile.rs	421	57	Fn	Rc<dyn Fn(_) -> Rc<Outcome<_>>>	fn_closure	R3	function-value carrier: `Rc<dyn Fn..>` where an `Fn` bound is expected	03_ingest	expected a `Fn(_)` closure, found `Rc<dyn Fn(_) -> Rc<Outcome<_>>>`
src/v2_compiler_compile.rs	421	70	Fn	Rc<dyn Fn(Rc<TokenStream>) -> Rc<Outcome<Rc<Node>>>>	fn_closure	R3	function-value carrier: `Rc<dyn Fn..>` where an `Fn` bound is expected	03_ingest	expected a `Fn(_)` closure, found `Rc<dyn Fn(Rc<TokenStream>) -> Rc<Outcome<Rc<Node>>>>`
src/v2_compiler_compile.rs	421	95	Fn	Rc<dyn Fn(_) -> Rc<Outcome<_>>>	fn_closure	R3	function-value carrier: `Rc<dyn Fn..>` where an `Fn` bound is expected	03_ingest	expected a `Fn(_)` closure, found `Rc<dyn Fn(_) -> Rc<Outcome<_>>>`
src/v2_compiler_compile.rs	421	108	Fn	Rc<dyn Fn(Rc<Node>) -> Rc<Outcome<Rc<NormalizedTree>>>>	fn_closure	R3	function-value carrier: `Rc<dyn Fn..>` where an `Fn` bound is expected	03_ingest	expected a `Fn(_)` closure, found `Rc<dyn Fn(Rc<Node>) -> Rc<Outcome<Rc<NormalizedTree>>>>`
src/v2_compiler_compile.rs	421	127	Fn	Rc<dyn Fn(_) -> Rc<Outcome<_>>>	fn_closure	R3	function-value carrier: `Rc<dyn Fn..>` where an `Fn` bound is expected	03_ingest	expected a `Fn(_)` closure, found `Rc<dyn Fn(_) -> Rc<Outcome<_>>>`
src/v2_compiler_compile.rs	421	140	Fn	Rc<dyn Fn(Rc<NormalizedTree>) -> Rc<Outcome<Rc<Node>>>>	fn_closure	R3	function-value carrier: `Rc<dyn Fn..>` where an `Fn` bound is expected	03_ingest	expected a `Fn(_)` closure, found `Rc<dyn Fn(Rc<NormalizedTree>) -> Rc<Outcome<Rc<Node>>>>`
src/v2_compiler_compile.rs	421	210	Fn	Rc<dyn Fn(Rc<NormalizedTree>) -> Rc<Outcome<Rc<Node>>>>	fn_closure	R3	function-value carrier: `Rc<dyn Fn..>` where an `Fn` bound is expected	03_ingest	expected a `Fn(Rc<NormalizedTree>)` closure, found `Rc<dyn Fn(Rc<NormalizedTree>) -> Rc<Outcome<Rc<Node>>>>`
