tag	file	name	candidate_modules
compile	dag/config/codegen_paths.dag	List	std.types,v2.std.collection
compile	dag/ctrl/code_change_workflow.dag	Closed	extdeps.github.actions,extdeps.github.pulls,gunbc.workflow.types
compile	dag/ctrl/code_change_workflow.dag	Absent	gunbc.host_converge,gunbc.srv3_install_media_fetch,std.upsert_decision,v2.std.collection,v2.std.node
compile	dag/ctrl/code_change_workflow.dag	terminal	extdeps.container.oci.runtime_config,v2.std.grammar
compile	dag/ctrl/code_change_workflow.dag	value	extdeps.audit.cloudevents,extdeps.cloud.gcp.sts,extdeps.docker.container_stats,extdeps.ebay.errors,extdeps.ebay.inventory,extdeps.languages.json.emit,extdeps.languages.yaml.types,extdeps.object_storage,extdeps.os.proc_meminfo,std.binding,std.change,std.http_path,std.languages,std.markup,std.types,v1.compiler.parse,v2.compiler.compile,v2.compiler.eval,v2.extdeps.formats.json,v2.extdeps.formats.spice,v2.extdeps.formats.yaml,v2.extdeps.formatters.lean4_format,v2.extdeps.languages.llvm_ir,v2.std.collection,v2.std.compilers.target_model,v2.std.datetime,v2.std.network,v2.std.node,v2.std.node_minimal,v2.std.runtime,v2.std.timeseries_signal,v2.test.manual.chained_generic_field_access,v2.test.manual.fn_as_value,v2.test.manual.generic_instantiation_runtime,v2.workflow.realization_runner
compile	dag/ctrl/code_change_workflow.dag	PullRequest	extdeps.github.actions,extdeps.github.pulls
compile	dag/ctrl/code_change_workflow.dag	actual	v2.extdeps.languages.verilog,v2.std.host_run,v2.std.test_claim_falsification,v2.test.lens_affected_set.node_precision,v2.test.lens_effect.effect_depends_on,v2.test.lens_idempotency.write_effect,v2.test.lens_ownership.resource_dependency,v2.test.lens_parallelism.data_dependency,v2.test.lens_unused_parameters.binds_to_edge,v2.test.lens_unused_parameters.non_use_edges,v2.test.lens_unused_parameters.rollup_unused_declaration
compile	dag/ctrl/code_change_workflow.dag	to	std.types,v1.compiler.languages,v2.extdeps.coordination
compile	dag/ctrl/code_change_workflow.dag	count	extdeps.cloud.gcp.sts,extdeps.languages.markdown,std.languages,std.measure,v2.lens.enforcement.grammar_coverage,v2.test.manual.fold_source,v2.workflow.compile_door_ledger
compile	dag/ctrl/code_change_workflow.dag	head	extdeps.git,extdeps.github.pulls,gunbc.ci_spec,v2.compiler.translate,v2.extdeps.formats.toml,v2.extdeps.languages.english,v2.extdeps.languages.kotlin,v2.std.collection,v2.std.diagnostic
compile	dag/ctrl/code_change_workflow.dag	state	extdeps.cloud.gcp.secret_manager,extdeps.docker.container_inspect,extdeps.github.pulls,gunbc.digest_render,std.markdown,v2.compiler.name_resolve,v2.extdeps.posix,v2.test.manual.nodefold_topdown_inline_algebra
compile	dag/ctrl/code_change_workflow.dag	request	v2.extdeps.file_system,v2.std.runtime
compile	dag/ctrl/code_change_workflow.dag	expected	gunbc.tools.grounding_confirm,std.realization_width,test.claim.host_standup_spine,v2.std.host_run,v2.std.test_claim_falsification,v2.test.lens_affected_set.node_precision,v2.test.lens_effect.effect_depends_on,v2.test.lens_idempotency.write_effect,v2.test.lens_ownership.resource_dependency,v2.test.lens_parallelism.data_dependency,v2.test.lens_structural_resolution.claim_carrier,v2.test.lens_unused_parameters.binds_to_edge,v2.test.lens_unused_parameters.non_use_edges,v2.test.lens_unused_parameters.rollup_unused_declaration,v2.test.workflow.claim_witness_corpus_ci_runner
compile	dag/ctrl/code_change_workflow.dag	draft	extdeps.github.pulls,gunbc.digest_render
compile	dag/ctrl/code_change_workflow.dag	Bool	std.types,v2.std.logic
compile	dag/ctrl/code_change_workflow.dag	from	std.types,v1.compiler.languages,v2.extdeps.coordination
