label	canonical_seven_cause_signature_attribution_2026-07-28
classifier_stamp	cause-signature-not-error-code-v1
protocol	Task B of mandate msg_2c058326: cargo build --message-format=json over the SAME assembled crate as canonical_seven_sweep_2026-07-28.tsv (identical gunbc/cssl_assemble binary pair, no re-emit between passes); each error grouped by CAUSE SIGNATURE not error code — E0308 by concrete expected/found type pair, E0599 by receiver type + missing method, E0277 by unsatisfied trait + self type; counts below are FULL RESIDUAL (every error cargo reported for that module in one clean build), never first-error-limited
gunbc_sha256	54c3fea91dbb87fd6794f29d5f23f79ee58bfff51fb99c935e5878bdd8b145c7
cssl_assemble_sha256	2cd17c5040afb470ea3af631d5d773e5e7028c4691341b50187d186abfee3720
git_sha	623519aa3ca871b7afbcbd47c7ac137542c8f426
seed_vs_v2_emit_caveat	every file_line below is under a v1-seed-emitted crate (gunbc compile --target rust runs src/v1/05_emit_rust.dag over the v2 AST as data); a fix for any row here lands in the seed + regen_stage0, NEVER in v2-emit-only wiring — v2-only changes will not move these counts
rows	233 distinct cause signatures across 2898 total errors (2 residual UNLOCATED E0308 rows out of 845 E0308 occurrences — genuinely un-patterned messages, not a regex gap; see rows tagged "(UNLOCATED)")
companion	docs/probes/canonical_seven_sweep_2026-07-28.tsv (Task A: per-module error-code histograms + baseline delta)
cause_signature	count	distinct_emitted_files	example_file_line
E0599: missing `clone` (no method named `clone` found for type parameter `T` in the )	206	24	06_translate/src/v2_std_optional.rs:18
E0277: bound `T: Clone` not satisfied	181	20	06_translate//session-home/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/im-15.1.0/src/vector/mod.rs:90
E0308: expected `()` found `std::option::Option<_>`	134	24	06_translate/src/v2_std_compilers_target_model.rs:305
unreachable_patterns: unreachable pattern	126	54	06_translate/src/v2_std_node.rs:509
E0599: the method `is_empty` exists for struct `Rc<im::Vector<T>>`, but its trait bounds were not satisfied	84	7	06_translate/src/v2_std_algebra.rs:55
E0277: bound `CommutativeSemiring<Magnitude>: serde::Deserialize<'de>` not satisfied	75	10	emit_host/src/std_measure.rs:363
E0599: the method `clone` exists for enum `Outcome<T>`, but its trait bounds were not satisfied	63	7	06_translate/src/v2_std_diagnostic.rs:347
E0308: expected `bool` found `Bool`	60	6	06_translate/src/v2_std_logic.rs:57
E0599: the method `iter` exists for struct `im::Vector<T>`, but its trait bounds were not satisfied	56	7	06_translate/src/v2_std_algebra.rs:55
E0282: type annotations needed	55	37	06_translate/src/v2_std_collection.rs:104
E0308: expected `Rc<Nat>` found `{integer}`	50	5	06_translate/src/v2_std_integer.rs:1363
E0107: type alias takes 0 generic arguments but 1 generic argument was supplied	48	12	06_translate/src/v2_std_qualified_name.rs:300
E0308: expected `Rc<CommutativeSemiring<Magnitude>>` found `{integer}`	40	8	materialization_carriers/src/extdeps_units_dimensionless.rs:53
E0308: expected `Rc<Correction>` found `std::option::Option<_>`	35	13	06_translate/src/v2_std_host_transport.rs:152
E0308: expected `Rc<Rc<CommutativeSemiring<Magnitude>>>` found `{integer}`	33	7	emit_host/src/extdeps_units_dimensionless.rs:53
E0277: bound `EnvironmentBindingKey: std::hash::Hash` not satisfied	32	8	06_translate/src/v2_std_runtime.rs:68
E0277: bound `Node: std::hash::Hash` not satisfied	30	6	06_translate/src/v2_compiler_infer.rs:86
E0277: bound `Node: Eq` not satisfied	30	6	06_translate/src/v2_compiler_infer.rs:86
E0107: missing generics for enum `Witness`	28	16	06_translate/src/v2_std_collection.rs:75
E0599: the method `clone` exists for enum `Outcome<U>`, but its trait bounds were not satisfied	28	7	06_translate/src/v2_std_diagnostic.rs:338
E0308: expected `Rc<im::Vector<_>>` found `std::string::String`	28	14	06_translate/src/v2_std_text.rs:66
E0599: the method `clone` exists for struct `im::Vector<T>`, but its trait bounds were not satisfied	25	11	06_translate/src/v2_std_algebra.rs:76
E0599: the method `clone` exists for enum `std::option::Option<T>`, but its trait bounds were not satisfied	24	18	06_translate/src/v2_std_optional.rs:22
E0308: expected `Rc<DecimalDigitsStep>` found `DecimalDigitsStep`	24	6	06_translate/src/v2_std_integer.rs:325
E0063: missing field `token` in initializer of `TargetOperatorShape`	24	6	06_translate/src/v2_std_compilers_target_model.rs:1285
E0063: missing field `ident` in initializer of `TargetOperatorShape`	24	6	06_translate/src/v2_std_compilers_target_model.rs:1313
E0308: expected `OrdSet<std::string::String>` found `PointwisePower<_>`	24	24	06_translate/src/v2_std_grammar.rs:402
E0599: missing `clone` (no method named `clone` found for type parameter `A` in the )	22	15	06_translate/src/v2_std_node.rs:329
E0277: bound `U: Clone` not satisfied	18	8	06_translate//session-home/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/im-15.1.0/src/vector/mod.rs:90
E0308: expected `std::string::String` found `Rc<im::Vector<i64>>`	18	12	06_translate/src/v2_std_text.rs:39
E0277: bound `ValueInterpreter: serde::Deserialize<'de>` not satisfied	18	6	06_translate/src/v2_std_runtime.rs:391
E0277: bound `TransformInterpreter: serde::Deserialize<'de>` not satisfied	18	6	06_translate/src/v2_std_runtime.rs:394
E0277: bound `BranchInterpreter: serde::Deserialize<'de>` not satisfied	18	6	06_translate/src/v2_std_runtime.rs:397
E0277: bound `LoopInterpreter: serde::Deserialize<'de>` not satisfied	18	6	06_translate/src/v2_std_runtime.rs:400
E0277: bound `BindInterpreter: serde::Deserialize<'de>` not satisfied	18	6	06_translate/src/v2_std_runtime.rs:403
E0277: bound `MatchInterpreter: serde::Deserialize<'de>` not satisfied	18	6	06_translate/src/v2_std_runtime.rs:406
E0609: no field `member` on type `Rc<OrdSet<Rc<FormalNonterminal>>>`	18	6	06_translate/src/v2_std_grammar.rs:130
E0308: expected `OccurrenceId` found `Rc<NodeOccurrenceId>`	18	6	06_translate/src/v2_extdeps_languages_dag.rs:2117
E0308: expected `std::option::Option<Rc<_>>` found `Rc<_>`	18	6	06_translate/src/v2_extdeps_languages_dag.rs:2975
E0614: type `Nat` cannot be dereferenced	18	1	05_eval/src/v2_std_verdict.rs:177
E0614: type `v2_std_nat::Nat` cannot be dereferenced	18	1	emit_host/src/v2_std_verdict.rs:179
E0063: missing fields `contains_key`, `empty`, `get` and 6 other fields in initializer of `PartialFunction<	16	16	06_translate/src/v2_std_collection.rs:103
E0597: `tree` does not live long enough	16	12	06_translate/src/v2_compiler_infer.rs:1075
E0597: `target` does not live long enough	16	4	06_translate/src/v2_compiler_translate.rs:1060
E0369: binary operation `==` cannot be applied to type `Rc<Measure<(), (), Rc<CommutativeSemiring<Magnitude	16	6	materialization_carriers/src/std_measure.rs:362
E0277: `CommutativeSemiring<Magnitude>` doesn't implement `Debug`	15	10	emit_host/src/std_measure.rs:363
E0277: bound `CommutativeSemiring<Magnitude>: serde::Serialize` not satisfied	15	10	emit_host/src/std_measure.rs:361
E0308: expected `_` found `&_`	14	14	06_translate/src/v2_extdeps_languages_fidelity.rs:27
E0599: the method `clone` exists for struct `im::Vector<U>`, but its trait bounds were not satisfied	14	7	06_translate/src/v2_std_algebra.rs:80
E0599: missing `clone` (no method named `clone` found for type parameter `U` in the )	14	14	06_translate/src/v2_std_algebra.rs:84
E0369: binary operation `==` cannot be applied to type `Rc<im::Vector<T>>`	13	13	06_translate/src/v2_std_algebra.rs:48
E0308: expected `Nat` found `Rc<Nat>`	13	6	06_translate/src/v2_std_cardinality.rs:103
E0392: type parameter `Dimension` is never used	12	6	06_translate/src/v2_std_integer.rs:64
E0599: missing `clone` (no method named `clone` found for type parameter `R` in the )	12	4	06_translate/src/extdeps_communication_fidelity_carriers.rs:46
E0308: expected `Rc<im::Vector<i64>>` found `std::string::String`	12	6	06_translate/src/v2_std_text.rs:44
E0308: expected `Rc<DecimalDigitStep>` found `DecimalDigitStep`	12	6	06_translate/src/v2_std_integer.rs:326
E0599: missing `as_deref` (no method named `as_deref` found for unit type `()` in the c)	12	6	06_translate/src/v2_std_symbol_index.rs:118
E0599: no variant, associated function, or constant named `GlobalBareAmbiguous` found for enum `std::option	12	6	06_translate/src/v2_std_symbol_index.rs:119
E0599: `std::option::Option<_>` missing `GlobalBareUnique`	12	6	06_translate/src/v2_std_symbol_index.rs:120
E0614: type `std::option::Option<std::string::String>` cannot be dereferenced	12	6	06_translate/src/v2_std_compilers_target_model.rs:399
E0063: missing field `algebra_field` in initializer of `CanonicalOperation`	12	6	06_translate/src/v2_std_compilers_target_model.rs:1107
E0063: missing fields `binary_field` and `inverse_field` in initializer of `CanonicalOperation`	12	6	06_translate/src/v2_std_compilers_target_model.rs:1121
E0063: missing fields `compare_field` and `predicate` in initializer of `CanonicalOperation`	12	6	06_translate/src/v2_std_compilers_target_model.rs:1135
E0063: missing fields `eq_field` and `predicate` in initializer of `CanonicalOperation`	12	6	06_translate/src/v2_std_compilers_target_model.rs:1149
E0308: expected `Rc<DeriveGrammarRelationTokensProgress>` found `DeriveGrammarRelationTokensProgress`	12	6	06_translate/src/v2_std_grammar.rs:1293
E0609: no field `member` on type `Rc<OrdSet<std::string::String>>`	12	12	06_translate/src/v2_extdeps_languages_dag.rs:1224
E0597: `partials` does not live long enough	12	6	06_translate/src/v2_compiler_infer.rs:1074
E0369: binary operation `==` cannot be applied to type `Rc<dyn Fn(Rc<Node>, Rc<EvaluationEnvironment>) -> R	12	2	05_eval/src/v2_compiler_eval.rs:224
E0308: arguments to this function are incorrect (UNLOCATED)	12	2	05_eval/src/v2_compiler_eval.rs:1254
E0369: binary operation `==` cannot be applied to type `Rc<CommutativeSemiring<Magnitude>>`	12	4	emit_host/src/std_measure.rs:190
E0308: expected `i64` found `Rc<CommutativeSemiring<Magnitude>>`	12	3	materialization_carriers/src/std_measure.rs:627
E0369: binary operation `==` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	11	3	emit_host/src/std_measure.rs:178
E0369: binary operation `==` cannot be applied to type `Rc<Measure<(), (), Rc<Rc<CommutativeSemiring<Magnit	11	4	emit_host/src/std_measure.rs:363
