file	layer	cohort	structural_group	carrier	id	field	bytes	semantic_class	disposition_class	construction_mechanism	migration_target	has_dissolve_trigger	preview
dag/std/algebra.dag	std	extended	dissolution_note	data String	algebra_count_length_name_fork_note	value	1855	SPEC_NORM	authority_note_mixed	RealizationDispatch	authority_note_mixed	True	count and length sit on the same template rows as the SAME operation, and that is a §3 nicknaming fo
dag/std/artifact_store.dag	std	extended	dissolution_note	data String	artifact_store_module_note	value	1074	SPEC_NORM	authority_note_mixed	RealizationDispatch	authority_note_mixed	True	Witness-realization plan P2 (pure-spec half): the content-addressed artifact store - the corpus's fi
dag/std/artifact_store_scratch_grant.dag	std	extended	dissolution_note	data String	artifact_store_scratch_grant_note	value	849	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	P-B scratch-grant authority (docs/plans/effect-namespace-grants.md 6): the artifact-store host trans
dag/std/bytes.dag	std	extended	dissolution_note	data String	pure_dag_seam_unreachable_typing_note	value	2038	SPEC_NORM	Scaffold_candidate	SubstrateMandatoryTag	Disposition.Scaffold	True	One divergent seam, projected once per result type, because a divergent expression HAS no result typ
dag/std/cache_identity.dag	std	primary	dissolve_on_row	data String	cache_interface_product_dissolve_on	value	185	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	dissolve-on: std.cache_identity.CacheInterfaceProduct — deleted closed enum fork; sole cache-backend
dag/std/content_hash.dag	std	primary	dissolution_note	data String	content_hash_family_constructor_note	value	1163	SPEC_NORM	Scaffold_candidate	SubstrateMandatoryTag	Disposition.Scaffold	True	CRYPTOGRAPHIC CARRIER WALL (reviews 45441/45460/45496; same law as extdeps.git.object_store git_obje
dag/std/content_hash.dag	std	extended	dissolution_note	data String	content_hash_family_grounding_note	value	2295	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	ContentHash is grounded on hash family (feature:content-hash-family-grounded). Fnv1a64Structural is 
dag/std/content_hash.dag	std	extended	dissolution_note	data String	content_hash_cross_family_eq_v1_seed_bridge_note	value	1667	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	Seed-retained hand-Rust backstop (reviews 45323/45331/45353/45359; same wall-after-grounding class a
dag/std/effect_axes.dag	std	extended	dissolution_note	data String	effect_axes_note	value	1861	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	P-C derived axes (docs/plans/effect-namespace-grants.md lines 27-30, 62, owned silent-ibex-417): the
dag/std/effect_grant.dag	std	extended	dissolution_note	data String	effect_grant_note	value	892	SPEC_NORM	EVENT_fired_scaffold	RealizationDispatch	EVENT_fired_scaffold	True	P-A model for effect-namespace grants (docs/plans/effect-namespace-grants.md, owned silent-ibex-417)
dag/std/effect_grant.dag	std	extended	dissolution_note	data String	verb_set_note	value	669	SPEC_NORM	EVENT_fired_scaffold	SingleAuthority	EVENT_fired_scaffold	True	Q1 AMENDED (dissolve-on fired 2026-07-19, deploy-preflight sudo-probe displaced cost): the effect-de
dag/std/effect_grant.dag	std	extended	dissolution_note	data String	execute_verb_note	value	464	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	Execute grant reach for process/binary invocation: target is a NamespacePosition in FilesystemPathTr
dag/std/effect_grant.dag	std	extended	dissolution_note	data String	namespace_tree_note	value	925	SPEC_NORM	EVENT_fired_scaffold	RealizationDispatch	EVENT_fired_scaffold	True	Q2 (PROVISIONAL, pending operator ruling): grant targets are positions in CITED trees (DESIGN 3, not
dag/std/effects.dag	std	extended	dissolution_note	data String	execute_effect_note	value	391	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	ExecuteEffect is the invoke-nature EffectShape variant (process/binary execution at a grounded files
dag/std/effects.dag	std	extended	dissolution_note	data String	generic_predicate_frontier_note	value	968	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	EffectShape<K>/CreateCause<K> are GENERIC (the single-authority TYPE, shared across the REST-derivat
dag/std/emit_on_demand.dag	std	extended	dissolution_note	data String	interpreter_surviving_roles_ceiling_note	value	484	SPEC_NORM	authority_note_mixed	RealizationDispatch	authority_note_mixed	False	Policy ceiling (independent of current occupancy): bootstrap headroom for interpreter-surviving role
dag/std/filesystem.dag	std	primary	dissolve_on_row	data String	filesystem_is_text_encoding_dissolve_on	value	166	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	dissolve-on: std.filesystem.is_text_encoding — deleted duplicate Optional-lifted predicate; sole aut
dag/std/filesystem_path_grant.dag	std	extended	dissolution_note	data String	filesystem_path_grant_note	value	485	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	Path-string projection layer ON TOP OF std.effect_grant.filesystem_position (single FilesystemPathTr
dag/std/frame_boundary.dag	std	extended	dissolution_note	data String	frame_boundary_note	value	2091	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	Frame-boundary SPEC (docs/plans/effect-namespace-grants.md 6, owned silent-ibex-417): the effect-gra
dag/std/integer.dag	std	extended	dissolution_note	data String	std_integer_overflow_semantics_note	value	918	SPEC_NORM	Scaffold_candidate	SubstrateMandatoryTag	Disposition.Scaffold	True	P3b PR2 overflow authority: IntegerOverflowSemantics<E> separates return-value rules (wrapping vs sa
dag/std/integer.dag	std	extended	dissolution_note	data String	std_integer_std_nat_fork_note	value	1058	SPEC_NORM	authority_note_mixed	SingleAuthority	authority_note_mixed	True	PR1 Signedness lift imports std.nat here, co-resolving std.nat with v2.std.nat in whole-tree compile
dag/std/interface_summary.dag	std	extended	dissolution_note	data String	typed_module_key_v1_seed_bridge_note	value	1011	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	Seed-retained hand-Rust bridge (review 45298): src/v1/stage0/src/cli_run.rs typed_module_content_key
dag/std/keyed_roster.dag	std	primary	dissolution_note	data String	keyed_roster_note	value	2596	SPEC_NORM	Scaffold_candidate	SubstrateMandatoryTag	Disposition.Scaffold	True	Keyed roster set/map CONSTRUCTION semantics (generated-file conflict policy lane 4, operator ruling 
dag/std/materialization_provider.dag	std	extended	dissolution_note	data String	materialization_provider_completeness_note	value	2055	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	The artifact-completeness rule: an artifact carries ALL correctness-relevant outputs of the transfor
dag/std/measure.dag	std	extended	dissolution_note	data String	billing_month_as_hour_count_representation_note	value	306	SPEC_NORM	authority_note_mixed	RealizationDispatch	authority_note_mixed	True	Nat divisor via fn not Measure<Time, One, Nat>: stage0 alias emission collapses applied-generic Meas
dag/std/measure.dag	std	extended	dissolution_prose	data String	percent_from_computed_int_frontier	value	479	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	False	Percent = Measure<Dimensionless, One, Nat>; percent(n) accepts literal Nat only. Runtime eval refuse
dag/std/measure.dag	std	primary	dissolve_on_row	data String	basis_point_dissolve_on	value	252	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	dissolve-on: Ratio<Scale> carrier unifying Percent and BasisPoint as two scales of one Dimensionless
dag/std/measure.dag	std	primary	dissolve_on_row	data String	amortization_months_dissolve_on	value	271	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	dissolve-on: ground as calendar-month Duration sibling to billing_month_as_hour_count (one month-cou
dag/std/observation.dag	std	extended	dissolution_note	data String	observation_prefix_reuse_note	value	767	SPEC_NORM	authority_note_mixed	SingleAuthority	authority_note_mixed	True	Ancestry reuses std.effect_grant.path_is_prefix — the ONE prefix relation already carrying the conta
dag/std/observation.dag	std	extended	dissolution_note	data String	observation_psi_pressure_unit_note	value	903	SPEC_NORM	authority_note_mixed	SingleAuthority	authority_note_mixed	False	avg10 is a MAGNITUDE WITH A SCALE and is carried as one: std.measure.BasisPoint, not a bare scalar. 
