file	line	col	expected	found	pair_signature	root	reason	entry
src/v2_compiler_tokenize.rs	134	33	Rc<Nat>	i64	expected `Rc<Nat>`, found `i64`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	134	41	Rc<Nat>	integer	expected `Rc<Nat>`, found `integer`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	134	59	Rc<Nat>	i64	expected `Rc<Nat>`, found `i64`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	134	67	Rc<Nat>	integer	expected `Rc<Nat>`, found `integer`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	135	38	Rc<Nat>	i64	expected `Rc<Nat>`, found `i64`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	135	46	Rc<Nat>	integer	expected `Rc<Nat>`, found `integer`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	135	64	Rc<Nat>	i64	expected `Rc<Nat>`, found `i64`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	135	72	Rc<Nat>	integer	expected `Rc<Nat>`, found `integer`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	135	92	Rc<Nat>	i64	expected `Rc<Nat>`, found `i64`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	135	100	Rc<Nat>	integer	expected `Rc<Nat>`, found `integer`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	135	118	Rc<Nat>	i64	expected `Rc<Nat>`, found `i64`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	135	126	Rc<Nat>	integer	expected `Rc<Nat>`, found `integer`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	135	147	Rc<Nat>	i64	expected `Rc<Nat>`, found `i64`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	135	155	Rc<Nat>	integer	expected `Rc<Nat>`, found `integer`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	135	173	Rc<Nat>	i64	expected `Rc<Nat>`, found `i64`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	135	181	Rc<Nat>	integer	expected `Rc<Nat>`, found `integer`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	136	40	Rc<Nat>	i64	expected `Rc<Nat>`, found `i64`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	136	48	Rc<Nat>	integer	expected `Rc<Nat>`, found `integer`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	136	66	Rc<Nat>	i64	expected `Rc<Nat>`, found `i64`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	136	74	Rc<Nat>	integer	expected `Rc<Nat>`, found `integer`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	136	94	Rc<Nat>	i64	expected `Rc<Nat>`, found `i64`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	136	102	Rc<Nat>	integer	expected `Rc<Nat>`, found `integer`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	136	120	Rc<Nat>	i64	expected `Rc<Nat>`, found `i64`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	136	128	Rc<Nat>	integer	expected `Rc<Nat>`, found `integer`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	137	44	Rc<Nat>	i64	expected `Rc<Nat>`, found `i64`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	137	52	Rc<Nat>	integer	expected `Rc<Nat>`, found `integer`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	137	70	Rc<Nat>	i64	expected `Rc<Nat>`, found `i64`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	137	78	Rc<Nat>	integer	expected `Rc<Nat>`, found `integer`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	137	98	Rc<Nat>	i64	expected `Rc<Nat>`, found `i64`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	137	106	Rc<Nat>	integer	expected `Rc<Nat>`, found `integer`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	137	124	Rc<Nat>	i64	expected `Rc<Nat>`, found `i64`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	137	132	Rc<Nat>	integer	expected `Rc<Nat>`, found `integer`	B3	modeled_numeric_vs_native	03_ingest
src/v2_compiler_tokenize.rs	137	176	Rc<Nat>	i64	expected `Rc<Nat>`, found `i64`	B3	modeled_numeric_vs_native	03_ingest
